Tiempo,NúmeroJoints,G_parcial
5.660000,4.000000,307.816715
5.670000,4.000000,313.920302
5.680000,4.000000,360.000000
5.690000,4.000000,347.272633
5.700000,4.000000,353.177552
5.710000,4.000000,359.184284
5.720000,4.000000,254.770890
5.730000,4.000000,281.996130
5.740000,4.000000,332.292125
5.750000,4.000000,360.000000
5.760000,4.000000,360.000000
5.770000,4.000000,311.005424
5.780000,4.000000,285.591314
5.790000,4.000000,341.646259
5.800000,4.000000,336.010719
5.810000,4.000000,286.872442
5.820000,4.000000,345.988642
5.830000,4.000000,360.000000
5.840000,4.000000,320.043144
5.850000,4.000000,359.094279
5.860000,4.000000,359.892359
5.870000,4.000000,359.221686
5.880000,4.000000,284.264649
5.890000,4.000000,313.661754
5.900000,4.000000,360.000000
5.910000,4.000000,319.456291
5.920000,4.000000,332.165009
5.930000,4.000000,360.000000
5.940000,4.000000,360.000000
5.950000,4.000000,360.000000
5.960000,4.000000,288.548398
5.970000,4.000000,352.080955
5.980000,4.000000,360.000000
5.990000,4.000000,272.328911
6.000000,4.000000,288.046233
6.010000,4.000000,298.969835
6.020000,4.000000,359.908141
6.030000,4.000000,359.812247
6.040000,4.000000,273.241174
6.050000,4.000000,274.742925
6.060000,4.000000,281.476693
6.070000,4.000000,277.795601
6.080000,4.000000,322.578970
6.090000,4.000000,356.719265
6.100000,4.000000,360.000000
6.110000,4.000000,340.129720
6.120000,4.000000,332.826603
6.130000,4.000000,313.346474
6.140000,4.000000,360.000000
6.150000,4.000000,360.000000
6.160000,4.000000,360.000000
6.170000,4.000000,360.000000
6.180000,4.000000,333.363452
6.190000,4.000000,360.000000
6.200000,4.000000,360.000000
6.210000,4.000000,360.000000
6.220000,4.000000,360.000000
6.230000,4.000000,319.551027
6.240000,4.000000,360.000000
6.250000,4.000000,360.000000
6.260000,4.000000,359.936698
6.270000,4.000000,303.845009
6.280000,4.000000,352.600073
6.290000,4.000000,360.000000
6.300000,4.000000,287.458784
6.310000,4.000000,359.947532
6.320000,4.000000,360.000000
6.330000,4.000000,314.611278
6.340000,4.000000,360.000000
6.350000,4.000000,360.000000
6.360000,4.000000,359.812892
6.370000,4.000000,360.000000
6.380000,4.000000,295.255093
6.390000,4.000000,360.000000
6.400000,4.000000,359.791580
6.410000,4.000000,306.664336
6.420000,4.000000,323.140182
6.430000,4.000000,360.000000
6.440000,4.000000,359.923099
6.450000,4.000000,360.000000
6.460000,4.000000,273.241962
6.470000,4.000000,307.595211
6.480000,4.000000,318.274339
6.490000,4.000000,359.916604
6.500000,4.000000,359.843625
6.510000,4.000000,359.014127
6.520000,4.000000,355.544747
6.530000,4.000000,359.885634
6.540000,4.000000,339.723174
6.550000,4.000000,359.980249
6.560000,4.000000,304.246446
6.570000,4.000000,346.379031
6.580000,4.000000,360.000000
6.590000,4.000000,345.791570
6.600000,4.000000,360.000000
6.610000,4.000000,345.188538
6.620000,4.000000,359.898105
6.630000,4.000000,338.479037
6.640000,4.000000,359.960367
6.650000,4.000000,278.245210
6.660000,4.000000,321.081247
6.670000,4.000000,343.926569
6.680000,4.000000,359.967817
6.690000,4.000000,309.678689
6.700000,4.000000,360.000000
6.710000,4.000000,359.120485
6.720000,4.000000,266.082299
6.730000,4.000000,286.074930
6.740000,4.000000,346.105029
6.750000,4.000000,359.690415
6.760000,4.000000,316.750479
6.770000,4.000000,360.000000
6.780000,4.000000,360.000000
6.790000,4.000000,360.000000
6.800000,4.000000,360.000000
6.810000,4.000000,359.883318
6.820000,4.000000,270.587332
6.830000,4.000000,298.678589
6.840000,4.000000,328.436435
6.850000,4.000000,360.000000
6.860000,4.000000,347.499151
6.870000,4.000000,359.859382
6.880000,4.000000,275.614562
6.890000,4.000000,313.940561
6.900000,4.000000,275.664797
6.910000,4.000000,278.292909
6.920000,4.000000,273.113248
6.930000,4.000000,288.162602
6.940000,4.000000,296.766616
6.950000,4.000000,359.887286
6.960000,4.000000,359.791945
6.970000,4.000000,289.998486
6.980000,4.000000,302.918073
6.990000,4.000000,360.000000
7.000000,4.000000,359.931209
7.010000,4.000000,306.518025
7.020000,4.000000,359.835453
7.030000,4.000000,360.000000
7.040000,4.000000,331.473719
7.050000,4.000000,359.974041
7.060000,4.000000,321.487631
7.070000,4.000000,360.000000
7.080000,4.000000,359.906778
7.090000,4.000000,337.316495
7.100000,4.000000,359.924295
7.110000,4.000000,360.000000
7.120000,4.000000,359.891019
7.130000,4.000000,323.808033
7.140000,4.000000,359.971987
7.150000,4.000000,359.907318
7.160000,4.000000,357.035099
7.170000,4.000000,359.917728
7.180000,4.000000,320.337283
7.190000,4.000000,336.236992
7.200000,4.000000,360.000000
7.210000,4.000000,315.475687
7.220000,4.000000,287.534840
7.230000,4.000000,297.456878
7.240000,4.000000,359.895343
7.250000,4.000000,359.802461
7.260000,4.000000,280.911836
7.270000,4.000000,275.147093
7.280000,4.000000,314.177746
7.290000,4.000000,277.305121
7.300000,4.000000,273.643367
7.310000,4.000000,288.068607
7.320000,4.000000,295.937505
7.330000,4.000000,359.937958
7.340000,4.000000,360.000000
7.350000,4.000000,292.677041
7.360000,4.000000,310.722489
7.370000,4.000000,360.000000
7.380000,4.000000,360.000000
7.390000,4.000000,314.421097
7.400000,4.000000,279.166764
7.410000,4.000000,271.968824
7.420000,4.000000,305.210632
7.430000,4.000000,342.357560
7.440000,4.000000,360.000000
7.450000,4.000000,320.290072
7.460000,4.000000,360.000000
7.470000,4.000000,360.000000
7.480000,4.000000,360.000000
7.490000,4.000000,327.899096
7.500000,4.000000,360.000000
7.510000,4.000000,345.903176
7.520000,4.000000,359.896291
7.530000,4.000000,290.207866
7.540000,4.000000,359.630423
7.550000,4.000000,360.000000
7.560000,4.000000,340.663742
7.570000,4.000000,359.835457
7.580000,4.000000,287.996768
7.590000,4.000000,295.225141
7.600000,4.000000,359.982420
7.610000,4.000000,359.884840
7.620000,4.000000,298.631312
7.630000,4.000000,327.760533
7.640000,4.000000,359.829088
7.650000,4.000000,349.327597
7.660000,4.000000,360.000000
7.670000,4.000000,278.005260
7.680000,4.000000,274.059178
7.690000,4.000000,286.998602
7.700000,4.000000,292.436416
7.710000,4.000000,360.000000
7.720000,4.000000,360.000000
7.730000,4.000000,325.558923
7.740000,4.000000,359.924187
7.750000,4.000000,360.000000
7.760000,4.000000,316.218826
7.770000,4.000000,299.450958
7.780000,4.000000,332.198735
7.790000,4.000000,359.895287
7.800000,4.000000,307.315176
7.810000,4.000000,304.214825
7.820000,4.000000,359.906084
7.830000,4.000000,360.000000
7.840000,4.000000,320.195045
7.850000,4.000000,360.000000
7.860000,4.000000,359.978493
7.870000,4.000000,359.902287
7.880000,4.000000,316.351074
7.890000,4.000000,359.956446
7.900000,4.000000,359.956893
7.910000,4.000000,359.968989
7.920000,4.000000,354.132894
7.930000,4.000000,359.895420
7.940000,4.000000,316.270182
7.950000,4.000000,299.468592
7.960000,4.000000,331.237718
7.970000,4.000000,359.884224
7.980000,4.000000,315.441723
7.990000,4.000000,309.410508
8.000000,4.000000,300.159104
8.010000,4.000000,360.000000
8.020000,4.000000,360.000000
8.030000,4.000000,284.784483
8.040000,4.000000,343.292953
8.050000,4.000000,359.849868
8.060000,4.000000,309.841121
8.070000,4.000000,360.000000
8.080000,4.000000,360.000000
8.090000,4.000000,285.320780
8.100000,4.000000,286.219621
8.110000,4.000000,348.693906
8.120000,4.000000,359.944473
8.130000,4.000000,294.867632
8.140000,4.000000,359.842837
8.150000,4.000000,360.000000
8.160000,4.000000,305.750671
8.170000,4.000000,335.042716
8.180000,4.000000,360.000000
8.190000,4.000000,282.753368
8.200000,4.000000,281.178834
8.210000,4.000000,334.079436
8.220000,4.000000,360.000000
8.230000,4.000000,360.000000
8.240000,4.000000,359.931670
8.250000,4.000000,360.000000
8.260000,4.000000,284.831753
8.270000,4.000000,344.802730
8.280000,4.000000,360.000000
8.290000,4.000000,330.245611
8.300000,4.000000,359.995604
8.310000,4.000000,327.487542
8.320000,4.000000,360.000000
8.330000,4.000000,360.000000
8.340000,4.000000,333.360249
